location_name;category;lat;long;media_link
Антониев монастырь;linked;58.55;31.45;
Благовещенский собор, г. Сольвычегодск;linked;61.3273297;46.9232359;
Благовещенский собор, г. Москва;linked;55.7;37.75;
Богоявленская церковь, г. Тобольск;linked;58.197028;68.248778;
Варлаамо-Хутынский монастырь;linked;58.65;31.395062;
Владимирский Богородице-Рождественский монастырь;linked;56.131254;40.413897;
Чудов монастырь в честь арх. Михаила в Хонех;linked;55.82;37.5;
Зосимо-Савватиевская пустынь;linked;60.583321;43.460422;
Зосимов-Ворбозомский Благовещенский монастырь;linked;59.856975;38.368856;
Иосифо-Волоколмский монастырь;linked;56.172623;36.099466;
Кирилло-Белозерский монастырь;linked;59.880812;37.995664;
Костромской Богоявленско-Анастасиин монастырь;linked;57.772527;40.925230;
Московский Успенский собор;linked;55.85;37.65;
Покровский монастырь, г. Суздаль;linked;56.429353;40.437135;
Придворная певческая капелла, г. Санкт-Петербург;linked;59.940046;30.320996;
Ростовский Успенский собор;linked;57.185676;39.415533;
Cкит Корнилия Выговского на Кяткозере;linked;61.269439;33.208309;
Соловецкий монастырь;linked;65.1;35.6;
Троице-Сергиев монастырь;linked;56.311120;38.130492;
Троицкий храм в Александровской слободе («домовой» храм);linked;56.399981;38.741619;
Церковь Преображения Спаса на Нередице, г. Великий Новгород.;media;58.45;31.36;https://youtu.be/Oq3rs7xisBg?si=xBbIuyczGEozUmAo
Церковь Спаса Преображения на Ильине улице, г. Великий Новгород;media;58.517393;31.15;https://youtu.be/JMmImTAMBXs?si=jx6bBTI4tFVaEriN
Церковь Симеона Богоприимца в Зверином монастыре;media;58.52;31.29;https://www.youtube.com/watch?v=jJec0wI3P4I
Спасо-Преображенский cобор Мирожского монастыря;media;57.6;28.338675;https://youtu.be/2pdk1Cq99AQ?si=GwsdhehAstVPb_qU
Никольский cобор Староладожского Никольского мужского монастыря;media;60.03;32.45;https://youtu.be/4NfKU9abo4w?si=bV4YTr9wpAZeOTwC
Собор Рождества Иоанна Предтечи, г. Псков;media;57.75;45.319;https://youtu.be/Z2p9kZ-VbcQ?si=6DeHwrcgnWwqK6Cd
Собор Рождества Пресвятой Богородицы Снетогорского монастыря;media;57.834891;28.263268;https://youtu.be/OikSfg5Z5Fw?si=XOsqgwHc6H7Mekj9
Церковь Василия Великого на Горке, г. Псков;media;57.68;45.440;https://youtu.be/TG8_5mUgjzI?si=BY2JitYOQQ_rh1fx
Знаменский собор, г. Великий Новгород;media;58.45;31.15;https://youtu.be/m4efC5ryY84?si=Kzm3ouGED638j0bD
Церковь Георгия Победоносца в Старой Ладоге;media;60.08;32.35;https://youtu.be/bkSMTOaN3dg?si=BiqCB7_StnqGeW4A
Свято-Троицкий Кафедральный собор, г. Псков;media;57.65;45.350;https://youtu.be/Zix0Zy0kPsU?si=UHo_h7Sa2FfylYK_
Успенский собор Свято-Успенского девичьего монастыря в Старой Ладоге;media;60.001984;32.294340;https://youtu.be/f9RD6OCntF4?si=R2WD4usHNIM13zxT
Георгиевский собор Юрьева монастыря, г. Великий Новгород;media;58.4;31.284687;https://youtu.be/kEoGh6I7mHA?si=8OdKqTgu-eNNY4-8
Софийский собор, г. Великий Новгород ;both;58.6;31.2;https://youtu.be/ftBhkb8qikY?si=3Rv5nfN-sWMn50la
Церковь Успения от Пароменья, г. Псков;media;57.78;45.410;https://youtu.be/eTT0uCj1iE0?si=VnHEGCTCfU7Ftk_m
Антониево-Сийский монастырь;empty;63.553033;41.555747;
Сторожевский монастырь;empty;55.727988;36.816167;
